mes,sensor,missing_%
2025-08,TC_1_1_1,100.0
2025-08,CE_1_1_1,100.0
2025-08,CE_2_1_1,100.0
2025-08,CE_3_1_1,100.0
2025-08,SWC_1_1_1,79.79
2025-08,SWC_2_1_1,79.79
2025-08,SWC_3_1_1,79.79
2025-08,TS_1_1_1,79.79
2025-08,TS_2_1_1,79.79
2025-08,TS_3_1_1,79.79
2025-08,primary_key,0.0
2025-08,DOY,0.0
2025-08,LWIN_1_1_1,0.0
2025-08,LWOUT_1_1_1,0.0
2025-08,PPFD_1_1_1,0.0
2025-08,P_RAIN_1_1_1,0.0
2025-08,RH_1_1_1,0.0
2025-08,SHF_1_1_1,0.0
2025-08,SHF_2_1_1,0.0
2025-08,SHF_3_1_1,0.0
2025-08,SWIN_1_1_1,0.0
2025-08,SWOUT_1_1_1,0.0
2025-08,TA_1_1_1,0.0
2025-08,site_id,0.0
2025-09,SWC_1_1_1,100.0
2025-09,SWC_2_1_1,100.0
2025-09,SWC_3_1_1,100.0
2025-09,TC_1_1_1,100.0
2025-09,TS_1_1_1,100.0
2025-09,TS_2_1_1,100.0
2025-09,TS_3_1_1,100.0
2025-09,CE_1_1_1,100.0
2025-09,CE_2_1_1,100.0
2025-09,CE_3_1_1,100.0
2025-09,primary_key,0.0
2025-09,DOY,0.0
2025-09,LWIN_1_1_1,0.0
2025-09,LWOUT_1_1_1,0.0
2025-09,PPFD_1_1_1,0.0
2025-09,P_RAIN_1_1_1,0.0
2025-09,RH_1_1_1,0.0
2025-09,SHF_1_1_1,0.0
2025-09,SHF_2_1_1,0.0
2025-09,SHF_3_1_1,0.0
2025-09,SWIN_1_1_1,0.0
2025-09,SWOUT_1_1_1,0.0
2025-09,TA_1_1_1,0.0
2025-09,site_id,0.0
2025-10,SWC_1_1_1,76.07
2025-10,SWC_2_1_1,76.07
2025-10,SWC_3_1_1,76.07
2025-10,TC_1_1_1,76.07
2025-10,TS_1_1_1,76.07
2025-10,TS_2_1_1,76.07
2025-10,TS_3_1_1,76.07
2025-10,CE_1_1_1,76.07
2025-10,CE_2_1_1,76.07
2025-10,CE_3_1_1,76.07
2025-10,LWIN_1_1_1,66.15
2025-10,LWOUT_1_1_1,66.15
2025-10,PPFD_1_1_1,66.15
2025-10,P_RAIN_1_1_1,66.15
2025-10,RH_1_1_1,66.15
2025-10,SHF_1_1_1,66.15
2025-10,SHF_2_1_1,66.15
2025-10,SHF_3_1_1,66.15
2025-10,SWIN_1_1_1,66.15
2025-10,SWOUT_1_1_1,66.15
2025-10,TA_1_1_1,66.15
2025-10,primary_key,0.0
2025-10,DOY,0.0
2025-10,site_id,0.0
2025-11,LWIN_1_1_1,1.03
2025-11,LWOUT_1_1_1,1.03
2025-11,PPFD_1_1_1,1.03
2025-11,P_RAIN_1_1_1,1.03
2025-11,RH_1_1_1,1.03
2025-11,SHF_1_1_1,1.03
2025-11,SHF_2_1_1,1.03
2025-11,SHF_3_1_1,1.03
2025-11,SWC_1_1_1,1.03
2025-11,SWC_2_1_1,1.03
2025-11,SWC_3_1_1,1.03
2025-11,SWIN_1_1_1,1.03
2025-11,SWOUT_1_1_1,1.03
2025-11,TA_1_1_1,1.03
2025-11,TC_1_1_1,1.03
2025-11,TS_1_1_1,1.03
2025-11,TS_2_1_1,1.03
2025-11,TS_3_1_1,1.03
2025-11,CE_1_1_1,1.03
2025-11,CE_2_1_1,1.03
2025-11,CE_3_1_1,1.03
2025-11,primary_key,0.0
2025-11,DOY,0.0
2025-11,site_id,0.0
2025-12,primary_key,0.0
2025-12,DOY,0.0
2025-12,LWIN_1_1_1,0.0
2025-12,LWOUT_1_1_1,0.0
2025-12,PPFD_1_1_1,0.0
2025-12,P_RAIN_1_1_1,0.0
2025-12,RH_1_1_1,0.0
2025-12,SHF_1_1_1,0.0
2025-12,SHF_2_1_1,0.0
2025-12,SHF_3_1_1,0.0
2025-12,SWC_1_1_1,0.0
2025-12,SWC_2_1_1,0.0
2025-12,SWC_3_1_1,0.0
2025-12,SWIN_1_1_1,0.0
2025-12,SWOUT_1_1_1,0.0
2025-12,TA_1_1_1,0.0
2025-12,TC_1_1_1,0.0
2025-12,TS_1_1_1,0.0
2025-12,TS_2_1_1,0.0
2025-12,TS_3_1_1,0.0
2025-12,CE_1_1_1,0.0
2025-12,CE_2_1_1,0.0
2025-12,CE_3_1_1,0.0
2025-12,site_id,0.0
2026-01,primary_key,0.0
2026-01,DOY,0.0
2026-01,LWIN_1_1_1,0.0
2026-01,LWOUT_1_1_1,0.0
2026-01,PPFD_1_1_1,0.0
2026-01,P_RAIN_1_1_1,0.0
2026-01,RH_1_1_1,0.0
2026-01,SHF_1_1_1,0.0
2026-01,SHF_2_1_1,0.0
2026-01,SHF_3_1_1,0.0
2026-01,SWC_1_1_1,0.0
2026-01,SWC_2_1_1,0.0
2026-01,SWC_3_1_1,0.0
2026-01,SWIN_1_1_1,0.0
2026-01,SWOUT_1_1_1,0.0
2026-01,TA_1_1_1,0.0
2026-01,TC_1_1_1,0.0
2026-01,TS_1_1_1,0.0
2026-01,TS_2_1_1,0.0
2026-01,TS_3_1_1,0.0
2026-01,CE_1_1_1,0.0
2026-01,CE_2_1_1,0.0
2026-01,CE_3_1_1,0.0
2026-01,site_id,0.0
2026-02,primary_key,0.0
2026-02,DOY,0.0
2026-02,LWIN_1_1_1,0.0
2026-02,LWOUT_1_1_1,0.0
2026-02,PPFD_1_1_1,0.0
2026-02,P_RAIN_1_1_1,0.0
2026-02,RH_1_1_1,0.0
2026-02,SHF_1_1_1,0.0
2026-02,SHF_2_1_1,0.0
2026-02,SHF_3_1_1,0.0
2026-02,SWC_1_1_1,0.0
2026-02,SWC_2_1_1,0.0
2026-02,SWC_3_1_1,0.0
2026-02,SWIN_1_1_1,0.0
2026-02,SWOUT_1_1_1,0.0
2026-02,TA_1_1_1,0.0
2026-02,TC_1_1_1,0.0
2026-02,TS_1_1_1,0.0
2026-02,TS_2_1_1,0.0
2026-02,TS_3_1_1,0.0
2026-02,CE_1_1_1,0.0
2026-02,CE_2_1_1,0.0
2026-02,CE_3_1_1,0.0
2026-02,site_id,0.0
